29-06-2019 00:00:00Data received: read 1024,  total read 1024, clientId 424270608, packageId 66, transaction Id 1818584432
29-06-2019 10:19:29Data received: read 364,  total read 11104, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:19:29Data received: read 921,  total read 12025, clientId 424270608, packageId 66, transaction Id 1348559723

 incoming data read complete - bytes read: 12025, expected: 12025

29-06-2019 10:19:29 Comm success

29-06-2019 10:19:30Data received: read 1024,  total read 1024, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:19:30Data received: read 364,  total read 1388, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:19:30Data received: read 389,  total read 1777, clientId 424270608, packageId 66, transaction Id 1348559723

 incoming data read complete - bytes read: 1777, expected: 1777

29-06-2019 10:19:30 Comm success

29-06-2019 10:34:19Data received: read 262,  total read 262, clientId 424270608, packageId 66, transaction Id 1818584432

 incoming data read complete - bytes read: 262, expected: 262

29-06-2019 10:34:19 Comm success

29-06-2019 10:34:22Data received: read 1024,  total read 1024, clientId 424270608, packageId 66, transaction Id 1818584432

29-06-2019 10:34:22Data received: read 364,  total read 1388, clientId 424270608, packageId 66, transaction Id 1818584432

29-06-2019 10:34:22Data received: read 1024,  total read 2412, clientId 424270608, packageId 66, transaction Id 1818584432

29-06-2019 10:34:22Data received: read 364,  total read 2776, clientId 424270608, packageId 66, transaction Id 1818584432

29-06-2019 10:34:22Data received: read 1024,  total read 3800, clientId 424270608, packageId 66, transaction Id 1818584432

29-06-2019 10:34:22Data received: read 364,  total read 4164, clientId 424270608, packageId 66, transaction Id 1818584432

29-06-2019 10:34:22Data received: read 1024,  total read 5188, clientId 424270608, packageId 66, transaction Id 1818584432

29-06-2019 10:34:22Data received: read 364,  total read 5552, clientId 424270608, packageId 66, transaction Id 1818584432

29-06-2019 10:34:22Data received: read 1024,  total read 6576, clientId 424270608, packageId 66, transaction Id 1818584432

29-06-2019 10:34:22Data received: read 364,  total read 6940, clientId 424270608, packageId 66, transaction Id 1818584432

29-06-2019 10:34:22Data received: read 1024,  total read 7964, clientId 424270608, packageId 66, transaction Id 1818584432

29-06-2019 10:34:22Data received: read 364,  total read 8328, clientId 424270608, packageId 66, transaction Id 1818584432

29-06-2019 10:34:22Data received: read 1024,  total read 9352, clientId 424270608, packageId 66, transaction Id 1818584432

29-06-2019 10:34:22Data received: read 364,  total read 9716, clientId 424270608, packageId 66, transaction Id 1818584432

29-06-2019 10:34:22Data received: read 1024,  total read 10740, clientId 424270608, packageId 66, transaction Id 1818584432

29-06-2019 10:34:22Data received: read 364,  total read 11104, clientId 424270608, packageId 66, transaction Id 1818584432

29-06-2019 10:34:22Data received: read 1024,  total read 12128, clientId 424270608, packageId 66, transaction Id 1818584432

29-06-2019 10:34:22Data received: read 40,  total read 12168, clientId 424270608, packageId 66, transaction Id 1818584432

 incoming data read complete - bytes read: 12168, expected: 12168

29-06-2019 10:34:22 Comm success

29-06-2019 10:34:23Data received: read 1024,  total read 1024, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:23Data received: read 364,  total read 1388, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:23Data received: read 1024,  total read 2412, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:23Data received: read 364,  total read 2776, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:23Data received: read 1024,  total read 3800, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:23Data received: read 364,  total read 4164, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:23Data received: read 1024,  total read 5188, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:23Data received: read 364,  total read 5552, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:23Data received: read 1024,  total read 6576, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:23Data received: read 364,  total read 6940, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:23Data received: read 1024,  total read 7964, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:23Data received: read 364,  total read 8328, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:23Data received: read 1024,  total read 9352, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:23Data received: read 364,  total read 9716, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:23Data received: read 1024,  total read 10740, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:23Data received: read 364,  total read 11104, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:23Data received: read 921,  total read 12025, clientId 424270608, packageId 66, transaction Id 1348559723

 incoming data read complete - bytes read: 12025, expected: 12025

29-06-2019 10:34:23 Comm success

29-06-2019 10:34:25Data received: read 1024,  total read 1024, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:25Data received: read 364,  total read 1388, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:25Data received: read 1024,  total read 2412, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:25Data received: read 364,  total read 2776, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:25Data received: read 1024,  total read 3800, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:25Data received: read 364,  total read 4164, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:25Data received: read 1024,  total read 5188, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:25Data received: read 364,  total read 5552, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:25Data received: read 1024,  total read 6576, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:25Data received: read 364,  total read 6940, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:25Data received: read 1024,  total read 7964, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:25Data received: read 364,  total read 8328, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:25Data received: read 1024,  total read 9352, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:25Data received: read 364,  total read 9716, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:25Data received: read 1024,  total read 10740, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:25Data received: read 364,  total read 11104, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:25Data received: read 921,  total read 12025, clientId 424270608, packageId 66, transaction Id 1348559723

 incoming data read complete - bytes read: 12025, expected: 12025

29-06-2019 10:34:25 Comm success

29-06-2019 10:34:27Data received: read 1024,  total read 1024, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:27Data received: read 364,  total read 1388, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:27Data received: read 1024,  total read 2412, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:27Data received: read 364,  total read 2776, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:27Data received: read 1024,  total read 3800, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:27Data received: read 364,  total read 4164, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:27Data received: read 1024,  total read 5188, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:27Data received: read 364,  total read 5552, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:27Data received: read 1024,  total read 6576, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:27Data received: read 364,  total read 6940, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:27Data received: read 1024,  total read 7964, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:27Data received: read 364,  total read 8328, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:27Data received: read 1024,  total read 9352, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:27Data received: read 364,  total read 9716, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:27Data received: read 1024,  total read 10740, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:27Data received: read 364,  total read 11104, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:27Data received: read 921,  total read 12025, clientId 424270608, packageId 66, transaction Id 1348559723

 incoming data read complete - bytes read: 12025, expected: 12025

29-06-2019 10:34:27 Comm success

29-06-2019 10:34:28Data received: read 1024,  total read 1024, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:28Data received: read 364,  total read 1388, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:28Data received: read 1024,  total read 2412, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:28Data received: read 364,  total read 2776, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:28Data received: read 1024,  total read 3800, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:28Data received: read 364,  total read 4164, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:28Data received: read 1024,  total read 5188, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:28Data received: read 364,  total read 5552, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:28Data received: read 1024,  total read 6576, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:28Data received: read 364,  total read 6940, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:28Data received: read 1024,  total read 7964, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:28Data received: read 364,  total read 8328, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:28Data received: read 1024,  total read 9352, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:28Data received: read 364,  total read 9716, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:28Data received: read 1024,  total read 10740, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:28Data received: read 364,  total read 11104, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:28Data received: read 921,  total read 12025, clientId 424270608, packageId 66, transaction Id 1348559723

 incoming data read complete - bytes read: 12025, expected: 12025

29-06-2019 10:34:28 Comm success

29-06-2019 10:34:30Data received: read 1024,  total read 1024, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:30Data received: read 364,  total read 1388, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:30Data received: read 1024,  total read 2412, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:30Data received: read 364,  total read 2776, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:30Data received: read 1024,  total read 3800, clientId 424270608, packageId 66, transaction Id 1348559723

29-06-2019 10:34:30Data received: read 364,  total read 4164, clientId 424270608, packageId 66, transaction Id 1348559723
